Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.012405345;0.652681938;0.614531202;0.023328079;0.114660163;0.050771653;0.354158422;0.001431738;0.903940395;0.075340565;0.006829268
0.093176954;0.681049773;0.12359203;0.018923029;0.36338627;0.285552478;0.471820974;0.091785163;0.348960249;-0.021645834;0.179512195
0.056539088;0.594357455;0.129880489;0.015490204;0.411434555;0.12505342;0.644701572;0.190347733;0.453284887;0.162478803;0.070243902
0.177036856;0.665552225;0.225103586;0.016671087;0.227466672;0.096645576;0.552143553;0.033689368;0.378995707;0.128765657;0.046829268
0;0.631333285;0.226687881;0.009617072;0.293137306;0.156883622;0.476488368;0.005361079;0.488151806;0.192027749;0.08097561
0.034456574;0.973182925;0.701376824;0.01488763;0.061971177;0.026331769;0.453778443;0.003489092;0.212661637;0.146109011;0.008780488
0.434779382;0.730567531;0.342411424;0.020146872;0.174861187;0.075053322;0.314927894;0.008172254;0.468873359;0.561296658;0.026341463
0.281156406;0.780636222;0.415291063;0.006428375;0.094081174;0.054596146;0.377244512;0.034381587;0.436242701;0.036894609;0.007804878
0.048097352;0.705416245;0.58488993;0.01649389;0.039796838;0.017888612;0.39200277;0.16925336;0.736659782;0.063521392;0.011707317
0.281576932;0.604480435;0.432703422;0.01245206;0.102414309;0.029641475;0.229608627;0.054337787;0.484160971;0.282398067;0.008780488
0;1;0.753393692;0.015621862;0.038679433;0.015660581;0.532368519;0.004515402;0.446725377;0.031075474;0.008780488
0.093484256;0.708018977;0.092067029;0.017733392;0.424693232;0.298870531;0.329332592;0.261204177;0.490585446;0.119343809;0.116097561
0.411592772;0.965048081;0.662120923;0.009877848;0.066437859;0.023387384;0.066346338;0.024596733;0.73925952;0.199051086;0.002926829
0;0.662397317;0.182122304;0.028336599;0.253240623;0.160295236;0.492684946;0.00420249;0.460233865;0.020311384;0.114146341
0;0.818276866;0.30767731;0.01067532;0.162243496;0.061998058;0.316001394;0.002663312;0.384387934;0.275284426;0.013658537
0.048780031;0.708218911;0.213542785;0.026377987;0.150534457;0.0769096;0.390526966;0.018000876;0.44217482;0.008992991;0.020487805
0.46333211;0.485635186;0.158953292;0.005621535;0.320158945;0.08320336;0.547777956;0.106343752;0.46485981;0.325538982;0.054634146
0.545359178;0.750719348;0.139893892;0.015881255;0.825694369;0.34403354;0.910783653;0.065386333;0.449419575;-0.032528527;0.034146341
0.095965656;0.676465754;0.08701139;0.016837311;0.281188358;0.105629736;0.617730344;0.04142308;0.381714541;0.150957571;0.44
0.013271651;0.639963657;0.595837293;0.024178189;0.120225678;0.056454893;0.377792016;0.001574079;0.887357704;0.071986666;0.008780488
0.27600691;0.67548698;0.27611589;0.024704999;0.320307621;0.102735123;0.407794182;0.03262574;0.294361796;0.603588578;0.087804878
0.076189612;0.584745819;0.148120185;0.017007951;0.418467909;0.112079217;0.660245343;0.172660704;0.44118039;0.193552254;0.064390244
0.182938523;0.657312026;0.230217399;0.017666049;0.229629154;0.094939982;0.534634298;0.033528871;0.411623884;0.117895847;0.050731707
0;0.615228294;0.227992194;0.010558284;0.298211824;0.160147735;0.489578575;0.005563178;0.486901105;0.193330497;0.08195122
0.033245788;0.979381361;0.737724588;0.015880234;0.059599148;0.028518632;0.43251868;0.003818734;0.247844865;0.131706219;0.008780488
0.370898884;0.722629185;0.30382518;0.022581677;0.178856121;0.086045639;0.327709926;0.009600278;0.509183821;0.238732937;0.033170732
0.323962732;0.760388455;0.416740747;0.00663187;0.09453445;0.047184361;0.419587022;0.029980223;0.438510385;0.06253296;0.006829268
0.046877198;0.696242684;0.528517679;0.017106751;0.040618593;0.01865767;0.377092676;0.17989498;0.697287707;0.073399748;0.012682927
0.216885005;0.600661679;0.441488772;0.01318624;0.105579563;0.035659633;0.241887165;0.066756235;0.478168372;0.116470813;0.011707317
0;0.987683809;0.699415928;0.015767646;0.037850256;0.015431341;0.56920051;0.0045814;0.424214379;0.018434575;0.009756098
0.100675847;0.696210563;0.088685906;0.018709326;0.418735044;0.300794528;0.345883682;0.266869836;0.47423703;0.108713683;0.132682927
0.262575623;0.965402212;1;0.011962967;0.074714334;0.029383584;0.04467774;0.031403402;0.658799558;0.416988918;0.002926829
0;0.656379942;0.180784126;0.028810199;0.253989982;0.163456562;0.523894838;0.004514609;0.410862509;0.033015625;0.114146341
0;0.801096836;0.297839;0.012591474;0.159173459;0.051531963;0.27986295;0.00232064;0.373984589;0.354572768;0.010731707
0.049155675;0.69724251;0.203542443;0.026406744;0.156976836;0.080069399;0.37212428;0.018846118;0.411762567;0.002153526;0.024390244
0.44029203;0.478759104;0.150566788;0.006501975;0.336751972;0.094183452;0.597748419;0.119189173;0.440679879;0.309385849;0.052682927
0.490595716;0.722525106;0.137353644;0.016827281;0.78023866;0.344459419;0.864931068;0.067143465;0.443279263;0.117672305;0.03902439
0.0684676;0.659194012;0.091556414;0.018892353;0.287931081;0.099125196;0.626766833;0.039634998;0.372861257;0.241103607;0.413658537
0.0133565;0.626326871;0.594566754;0.025434755;0.127349807;0.073132147;0.369903573;0.002034077;0.883381706;0.102663803;0.009756098
0.244203313;0.670080866;0.279403323;0.027297962;0.344896145;0.13269922;0.381224253;0.043067313;0.372547029;0.207332487;0.076097561
0.084986893;0.575240672;0.166838106;0.019404545;0.417953471;0.121651043;0.635842051;0.190133895;0.408657348;0.278354536;0.075121951
0.209806219;0.649473037;0.225314637;0.018872466;0.235126338;0.090375445;0.520284437;0.032149236;0.445696474;0.1349006;0.046829268
0;0.598481711;0.239146713;0.011682555;0.306369803;0.164311906;0.48319269;0.005794677;0.487053173;0.210345649;0.075121951
0.043758976;0.983677775;0.778595716;0.016642646;0.05755938;0.034530195;0.49339106;0.004588735;0.203124867;0.094839457;0.010731707
0.309597149;0.713852695;0.293338982;0.024973774;0.180617534;0.09609769;0.357088912;0.010881991;0.473558497;0.209256215;0.036097561
0.382115486;0.739210314;0.413544499;0.007081345;0.095756967;0.043673173;0.422306208;0.028200368;0.401455241;0.133882847;0.007804878
0.044909242;0.686548328;0.529705478;0.017768405;0.043093771;0.021658027;0.3624982;0.212147633;0.697344334;0.07640462;0.015609756
0.20219131;0.597363144;0.410802496;0.013909825;0.109144491;0.042214598;0.270951385;0.079396962;0.480060828;0.108398869;0.014634146
0;0.97325228;0.698076063;0.016744817;0.037918719;0.017025614;0.604307052;0.005183624;0.389791895;0.122421944;0.010731707
0.166003552;0.685614396;0.091640171;0.019465081;0.419037657;0.280283679;0.367750272;0.251955671;0.486751113;0.079795548;0.106341463
0.324781386;0.965044094;0.915108478;0.013135855;0.078194368;0.031508429;0.031721199;0.034204362;0.698232051;0.193674957;0.002926829
0;0.650022023;0.185794545;0.029136147;0.259734398;0.169044524;0.493766304;0.004613642;0.516915217;0.022349009;0.11804878
0;0.782851213;0.351925177;0.014498368;0.163072891;0.054089603;0.264515067;0.002301375;0.436748532;0.299161523;0.010731707
0.050946632;0.687012351;0.197833166;0.026883049;0.161894558;0.084997533;0.383912602;0.020000732;0.416441947;0.035630841;0.031219512
0.477018927;0.47146846;0.148868761;0.007389958;0.362978099;0.11785661;0.597133839;0.14672437;0.453209624;0.269783562;0.07902439
0.655343416;0.696494012;0.121859839;0.017217095;0.842779812;0.380689281;0.816055794;0.076161954;0.450378133;0.045761381;0.04195122
0.054717646;0.641810923;0.082573834;0.019986895;0.292816729;0.148603288;0.635189112;0.060017867;0.393317862;0.114446402;0.546341463
