Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.012405345;0.797629708;1;0.023328079;0.114660163;0.050771653;0.354158422;0.001431738;0.903940395;0.075340565;0.016241299
0.093176954;0.83229748;0.201115956;0.018923029;0.36338627;0.285552478;0.471820974;0.091785163;0.348960249;-0.021645834;0.426914153
0.056539088;0.726352509;0.211348893;0.015490204;0.411434555;0.12505342;0.644701572;0.190347733;0.453284887;0.162478803;0.167053364
0.177036856;0.813358231;0.366301313;0.016671087;0.227466672;0.096645576;0.552143553;0.033689368;0.378995707;0.128765657;0.11136891
0;0.771539941;0.368879367;0.009617072;0.293137306;0.156883622;0.476488368;0.005361079;0.488151806;0.192027749;0.192575406
0.434779382;0.892812153;0.557191274;0.020146872;0.174861187;0.075053322;0.314927894;0.008172254;0.468873359;0.561296658;0.062645012
0.048097352;0.862075264;0.951766041;0.01649389;0.039796838;0.017888612;0.39200277;0.16925336;0.736659782;0.063521392;0.027842227
0.281576932;0.738723603;0.704119531;0.01245206;0.102414309;0.029641475;0.229608627;0.054337787;0.484160971;0.282398067;0.020881671
0.093484256;0.865256011;0.149816688;0.017733392;0.424693232;0.298870531;0.329332592;0.261204177;0.490585446;0.119343809;0.276102088
0;0.809502681;0.296359735;0.028336599;0.253240623;0.160295236;0.492684946;0.00420249;0.460233865;0.020311384;0.271461717
0;1;0.500669955;0.01067532;0.162243496;0.061998058;0.316001394;0.002663312;0.384387934;0.275284426;0.032482599
0.048780031;0.865500346;0.347488922;0.026377987;0.150534457;0.0769096;0.390526966;0.018000876;0.44217482;0.008992991;0.048723898
0.46333211;0.593485172;0.258657805;0.005621535;0.320158945;0.08320336;0.547777956;0.106343752;0.46485981;0.325538982;0.129930394
0.545359178;0.917439292;0.227643269;0.015881255;0.825694369;0.34403354;0.910783653;0.065386333;0.449419575;-0.032528527;0.081206497
0.013271651;0.782086948;0.969580211;0.024178189;0.120225678;0.056454893;0.377792016;0.001574079;0.887357704;0.071986666;0.020881671
0.27600691;0.825499299;0.449311425;0.024704999;0.320307621;0.102735123;0.407794182;0.03262574;0.294361796;0.603588578;0.208816705
0.076189612;0.714606319;0.24102956;0.017007951;0.418467909;0.112079217;0.660245343;0.172660704;0.44118039;0.193552254;0.153132251
0.182938523;0.803288047;0.374622798;0.017666049;0.229629154;0.094939982;0.534634298;0.033528871;0.411623884;0.117895847;0.120649652
0;0.75185835;0.371001819;0.010558284;0.298211824;0.160147735;0.489578575;0.005563178;0.486901105;0.193330497;0.194895592
0.370898884;0.883110858;0.494401551;0.022581677;0.178856121;0.086045639;0.327709926;0.009600278;0.509183821;0.238732937;0.078886311
0.046877198;0.850864436;0.86003392;0.017106751;0.040618593;0.01865767;0.377092676;0.17989498;0.697287707;0.073399748;0.030162413
0.216885005;0.734056778;0.718415551;0.01318624;0.105579563;0.035659633;0.241887165;0.066756235;0.478168372;0.116470813;0.027842227
0.100675847;0.850825182;0.144314733;0.018709326;0.418735044;0.300794528;0.345883682;0.266869836;0.47423703;0.108713683;0.315545244
0;0.802148966;0.294182175;0.028810199;0.253989982;0.163456562;0.523894838;0.004514609;0.410862509;0.033015625;0.271461717
0;0.979004624;0.4846605;0.012591474;0.159173459;0.051531963;0.27986295;0.00232064;0.373984589;0.354572768;0.025522042
0.049155675;0.852086304;0.331215799;0.026406744;0.156976836;0.080069399;0.37212428;0.018846118;0.411762567;0.002153526;0.05800464
0.44029203;0.585082047;0.24501081;0.006501975;0.336751972;0.094183452;0.597748419;0.119189173;0.440679879;0.309385849;0.125290023
0.490595716;0.882983665;0.223509634;0.016827281;0.78023866;0.344459419;0.864931068;0.067143465;0.443279263;0.117672305;0.092807425
0.0133565;0.765421701;0.967512717;0.025434755;0.127349807;0.073132147;0.369903573;0.002034077;0.883381706;0.102663803;0.023201856
0.244203313;0.818892594;0.454660922;0.027297962;0.344896145;0.13269922;0.381224253;0.043067313;0.372547029;0.207332487;0.180974478
0.084986893;0.702990267;0.271488422;0.019404545;0.417953471;0.121651043;0.635842051;0.190133895;0.408657348;0.278354536;0.178654292
0.209806219;0.793708174;0.366644746;0.018872466;0.235126338;0.090375445;0.520284437;0.032149236;0.445696474;0.1349006;0.11136891
0;0.731392681;0.389153084;0.011682555;0.306369803;0.164311906;0.48319269;0.005794677;0.487053173;0.210345649;0.178654292
0.309597149;0.872385282;0.477337816;0.024973774;0.180617534;0.09609769;0.357088912;0.010881991;0.473558497;0.209256215;0.085846868
0.044909242;0.839017155;0.861966774;0.017768405;0.043093771;0.021658027;0.3624982;0.212147633;0.697344334;0.07640462;0.03712297
0.20219131;0.730025703;0.668481103;0.013909825;0.109144491;0.042214598;0.270951385;0.079396962;0.480060828;0.108398869;0.034802784
0.166003552;0.837875815;0.14912208;0.019465081;0.419037657;0.280283679;0.367750272;0.251955671;0.486751113;0.079795548;0.252900232
0;0.794379079;0.302335412;0.029136147;0.259734398;0.169044524;0.493766304;0.004613642;0.516915217;0.022349009;0.280742459
0;0.956707009;0.572672593;0.014498368;0.163072891;0.054089603;0.264515067;0.002301375;0.436748532;0.299161523;0.025522042
0.050946632;0.839584229;0.32192534;0.026883049;0.161894558;0.084997533;0.383912602;0.020000732;0.416441947;0.035630841;0.07424594
0.477018927;0.576172295;0.242247685;0.007389958;0.362978099;0.11785661;0.597133839;0.14672437;0.453209624;0.269783562;0.187935035
0.655343416;0.851171578;0.198297236;0.017217095;0.842779812;0.380689281;0.816055794;0.076161954;0.450378133;0.045761381;0.099767981
0.014090642;0.748522478;0.904088703;0.026237716;0.134929515;0.094026987;0.373486849;0.002588667;0.930184293;0.062362382;0.030162413
0.256266264;0.811826115;0.368128817;0.032310784;0.37209099;0.169457654;0.370444815;0.051476645;0.391159721;0.362750347;0.215777262
0.092520587;0.691668161;0.249395251;0.020908797;0.43674916;0.14409443;0.615514594;0.228449286;0.42626578;0.153134481;0.220417633
0.244133513;0.782769611;0.348252979;0.020246954;0.244180595;0.110230829;0.522659193;0.039748951;0.463465737;0.143869299;0.129930394
0;0.711685541;0.389695902;0.013242217;0.31529877;0.174488248;0.465826104;0.006268694;0.489218459;0.263723273;0.192575406
0.530502391;0.861792649;0.426652466;0.026038117;0.192189093;0.106612269;0.362769646;0.012222416;0.484872064;0.08418865;0.092807425
0.059831593;0.82688856;0.784228579;0.01878572;0.045762849;0.024868648;0.346783108;0.247661671;0.755753667;0.113100015;0.046403712
0.276902813;0.725991817;0.631081888;0.015099216;0.113107428;0.045566452;0.277363364;0.086186328;0.552479695;0.168911363;0.039443155
