Adjusted_savings:_energy_depletion_(%_of_GNI);Age_dependency_ratio_(%_of_working-age_population);Agriculture,_forestry,_and_fishing,_value_added_(%_of_GDP);GDP_deflator_(base_year_varies_by_country);GDP_per_capita_(constant_2010_US$);GDP_per_capita_(current_US$);General_government_final_consumption_expenditure_(%_of_GDP);GNI_(current_US$);Gross_fixed_capital_formation_(%_of_GDP);Inflation,_GDP_deflator_(annual_%);Premiums_per_capita_(USD)_-_Total
0.214370389;58.68645122;22.7161967;72.1990493;2453.624414;1281.659393;10.62598748;4070817915;36.72933483;3.813932918;7
1.610143045;61.23716927;4.568589609;58.5656757;7776.139541;7208.373114;14.15627431;2.6097E+11;14.17911832;-1.095767718;184
0.977022919;53.44215575;4.801043016;47.94128095;8804.329637;3156.798771;19.34329501;5.4121E+11;18.4180865;8.225094319;72
3.059282888;59.84369401;8.320972677;51.59604518;4867.58232;2439.682456;16.56623172;95787969671;15.39953332;6.518448292;48
0;56.76686894;8.37953627;29.76428007;6272.874846;3960.307703;14.29631238;15242995592;19.83481568;9.720937857;83
0.595426348;87.50456995;25.92645228;46.07634982;1326.127489;664.708695;13.61493547;9920429843;8.640968493;7.396413417;9
7.513198992;65.68960051;12.65726659;62.35339991;3741.872219;1894.616196;9.448934876;23235924000;19.05148469;28.41427846;27
4.85851931;70.19156948;15.35126847;19.89544711;2013.25256;1378.203383;11.31865068;97756136119;17.7256203;1.867699847;8
0.83114561;63.4281013;21.62050461;51.04763152;851.6165622;451.5729973;11.76144989;4.81233E+11;29.93230964;3.215616017;12
4.865786209;54.35237214;15.99491776;38.53840253;2191.574157;748.2576087;6.88905937;1.54497E+11;19.6726582;14.29571544;9
0;89.91585003;27.84926011;48.34875624;827.7051039;395.3294716;15.97291175;12838507614;18.15155736;1.573120299;9
1.615453368;63.66212818;3.403265348;54.88381955;9088.053409;7544.568723;9.881126033;7.42674E+11;19.93370051;6.041490115;119
7.112523094;86.7731185;24.47535466;30.57136507;1421.710455;590.381815;1.990621474;69935153290;30.03794342;10.07647724;3
0;59.56001779;6.732166037;87.70012901;5419.121697;4046.429148;14.78226619;11948812600;18.70044068;1.028214443;117
0;73.57605997;11.37331719;33.03949536;3471.864969;1565.054289;9.481143611;7572514932;15.61863281;13.93560469;14
0.842942635;63.68010536;7.893626696;81.63833974;3221.302066;1941.475342;11.71717061;51181349334;17.96665699;0.455248303;21
