Economic_Resilience_Index;Country;Fiscal_space;Monetary_policy_space;low-carbon_economy;Insurance_penetration;Financial_Market_development;Human_capital;Economic_complexity;Labour_market_efficiency;Banking_industry_backdrop;Macroeconomic_Resilience_index;Year
1;Switzerland;1.00;0.08;1.00;0.70;1.00;0.83;1.00;0.92;1.00;0.84;2019
2;Canada;0.99;0.17;0.44;0.62;1.00;0.93;0.45;0.95;0.88;0.81;2019
3;Finland;0.99;0.08;0.66;0.91;0.88;1.00;0.83;1.00;0.73;0.80;2019
4;United States;0.96;0.17;0.40;1.00;1.00;0.82;0.85;0.79;1.00;0.80;2019
5;Norway;0.99;0.16;1.00;0.29;0.73;0.73;0.37;0.89;0.81;0.76;2019
6;United Kingdom;0.93;0.12;0.75;0.92;1.00;0.77;0.79;0.61;0.88;0.74;2019
7;Netherlands;1.00;0.08;0.47;0.80;0.73;0.88;0.58;0.82;0.87;0.75;2019
8;Sweden;0.98;0.08;1.00;0.57;0.79;0.84;0.90;0.65;0.64;0.71;2019
9;Denmark;0.99;0.08;1.00;0.97;0.33;0.88;0.53;0.74;1.00;0.72;2019
10;Germany;1.00;0.08;0.72;0.47;0.75;0.86;1.00;0.53;0.78;0.71;2019
11;Australia;0.95;0.12;0.27;0.31;0.85;0.83;0.00;0.96;0.63;0.71;2019
12;Japan;0.82;0.08;0.41;0.77;0.90;1.00;1.00;0.74;0.73;0.69;2019
13;New Zealand;0.90;0.14;0.80;0.33;0.08;0.77;0.07;0.90;0.95;0.66;2019
14;Austria;0.99;0.08;0.92;0.25;0.40;0.84;0.84;0.82;0.55;0.69;2019
15;Chile;1.00;0.37;0.77;0.28;0.00;0.36;0.00;1.00;0.37;0.66;2019
16;France;0.97;0.08;0.83;0.80;0.63;0.68;0.75;0.69;0.37;0.66;2019
17;South Korea;0.96;0.15;0.11;0.98;0.79;1.00;1.00;0.56;0.37;0.67;2019
18;Ireland;1.00;0.08;0.88;0.60;0.48;0.94;0.69;0.22;0.92;0.64;2019
19;Belgium;0.93;0.08;0.60;0.43;0.27;0.79;0.40;0.56;0.41;0.57;2019
20;Brazil;0.75;0.19;0.91;0.21;0.46;0.00;0.20;0.82;0.00;0.52;2019
21;China;1.00;0.30;0.14;0.24;0.52;0.28;0.38;0.24;0.22;0.54;2019
22;South Africa;0.50;0.65;0.00;1.00;0.31;0.00;0.00;0.76;0.29;0.49;2019
23;Spain;0.83;0.08;0.84;0.33;0.96;0.75;0.39;0.49;0.30;0.57;2019
24;Turkey;0.89;0.61;0.69;0.00;0.33;0.30;0.17;0.30;0.00;0.52;2019
25;India;0.99;0.28;0.50;0.18;0.19;0.00;0.17;0.30;0.00;0.48;2019
