Economic_Resilience_Index;Country;Fiscal_space;Monetary_policy_space;low-carbon_economy;Insurance_penetration;Financial_Market_development;Human_capital;Economic_complexity;Labour_market_efficiency;Banking_industry_backdrop;Macroeconomic_Resilience_index;Year
20;Brazil;0.75;0.19;0.91;0.21;0.46;0;0.2;0.82;0;0.52;2019
21;China;1;0.3;0.14;0.24;0.52;0.28;0.38;0.24;0.22;0.54;2019
22;South Africa;0.5;0.65;0;1;0.31;0;0;0.76;0.29;0.49;2019
25;India;0.99;0.28;0.5;0.18;0.19;0;0.17;0.3;0;0.48;2019
26;Russia;1;0.43;0.07;0;0;0.94;0.21;0;0.3;0.48;2019
27;Mexico;0.59;0.48;0.5;0.02;0;0.08;0.52;0.75;0.08;0.45;2019
18;South Africa;0.79;0.4;0;1;0.31;0;0;0.52;0.29;0.52;2018
20;Brazil;0.94;0.23;1;0.18;0.46;0;0.2;0.75;0;0.58;2018
22;China;1;0.32;0.03;0.22;0.52;0.28;0.38;0.24;0.22;0.55;2018
25;India;0.99;0.31;0.37;0.16;0.19;0;0.17;0.3;0.18;0.5;2018
26;Mexico;0.44;0.32;0.65;0.01;0;0.08;0.52;0.67;0.02;0.36;2018
27;Russia;1;0.36;0;0;0;0.89;0.21;0;0.23;0.46;2018
16;South Africa;0.91;0.66;0;1;0.27;0;0;0.65;0.26;0.61;2017
20;China;1;0.28;0;0.25;0.52;0.28;0.37;0.24;0.21;0.54;2017
21;Brazil;0.99;0.24;1;0.21;0.38;0;0.21;0.74;0;0.59;2017
23;Mexico;0.85;0.54;0.68;0;0;0.08;0.55;0.61;0.03;0.53;2017
25;Russia;1;0.41;0;0;0;0.91;0.17;0;0.2;0.46;2017
27;India;1;0.27;0.32;0.16;0.17;0;0.17;0.28;0.1;0.48;2017
16;South Africa;0.92;0.66;0;1;0.23;0;0;0.98;0.1;0.65;2016
18;China;1;0.26;0;0.22;0.58;0.28;0.35;0.19;0.47;0.56;2016
20;Mexico;0.94;0.64;0.57;0;0;0.08;0.57;0.51;0.04;0.56;2016
22;Brazil;0.99;0.25;1;0.21;0.33;0;0.26;0.59;0;0.56;2016
24;Russia;1;0.44;0;0;0.02;0.94;0.19;0;0.4;0.49;2016
26;India;0.99;0.26;0.33;0.16;0.1;0;0.14;0.21;0.19;0.47;2016
14;South Africa;0.88;0.32;0;1;0.17;0;0.01;0.93;0.02;0.56;2015
16;China;1;0.24;0;0.15;0.54;0.28;0.37;0.23;0.45;0.56;2015
20;Mexico;0.95;0.26;0.6;0;0;0.09;0.56;0.54;0;0.5;2015
21;Brazil;0.82;0.1;1;0.18;0.4;0;0.28;0.66;0;0.5;2015
23;Russia;1;0.42;0.02;0;0;0.87;0.18;0;0.39;0.48;2015
24;India;0.98;0.26;0.37;0.13;0.13;0;0.16;0.07;0.04;0.43;2015
15;South Africa;0.89;0.31;0;1;0.1;0;0.05;0.96;0;0.56;2014
16;China;1;0.25;0;0.11;0.52;0.28;0.36;0.34;0.48;0.58;2014
18;Mexico;0.83;0.25;0.38;0;0;0.09;0.58;0.6;0;0.47;2014
19;India;0.95;0.27;0.19;0.13;0.1;0;0.1;0.05;0.01;0.4;2014
22;Russia;1;0.07;0;0;0.02;0.81;0.24;0;0.4;0.44;2014
24;Brazil;0.56;0.36;0.94;0.15;0.35;0;0.26;0.79;0.02;0.46;2014
15;South Africa;0.94;0.33;0;1;0.08;0;0.02;0.99;0.09;0.6;2013
16;China;1;0.26;0;0.08;0.44;0.28;0.34;0.34;0.53;0.58;2013
18;India;0.94;0.29;0.22;0.14;0.06;0;0.06;0.53;0.18;0.51;2013
19;Mexico;0.9;0.28;0.39;0;0;0.1;0.55;0.67;0.1;0.52;2013
21;Russia;1;0.2;0;0;0.02;0.82;0.28;0;0.33;0.45;2013
23;Brazil;0.54;0.53;0.99;0.12;0.31;0;0.25;0.86;0.22;0.52;2013
12;South Africa;0.95;0.3;0;1;0.04;0;0;1;0.09;0.59;2012
16;China;1;0.24;0;0.07;0.44;0.28;0.32;0.39;0.52;0.58;2012
17;India;0.97;0.27;0.19;0.16;0.08;0;0.07;0.62;0.29;0.54;2012
20;Mexico;0.86;0.26;0.37;0;0;0.07;0.52;0.65;0.14;0.51;2012
22;Russia;1;0.21;0;0;0.1;0.76;0.29;0;0.28;0.45;2012
24;Brazil;0;0.25;1;0.12;0.31;0;0.24;0.83;0.38;0.3;2012
